GalaxyGalaxie responsibleVerantwortliche tristaidegramTristaidegramm thirteenDreizehn M M;
identityIdentitaet ofVon theDer galaxyGalaxie;1
GroupGruppe ofVon theDer galaxyGalaxie responsibleVerantwortlicher andUnd thingsDinge andUnd issuesAngelegenheiten ofVon theDer galaxyGalaxie;2
FederatonFoederation andUnd nutritionErnaehrung foodNahrung andUnd lifeLeben andUnd groupsGruppen ofVon groupsGruppen responsibleVerantwortlicher ofVon theDer galaxyGalaxie;3
DominatorDominierer dominusDominus obedientGehorsamkeits makerMacher ofVon theDer galaxyGalaxie;4
centralizatorZentralisator ofVon theDer galaxyGalaxie;5
ExploiterAusbeuter takerNehmer ofVon theDer galaxyGalaxie;6
LeaderAnfuehrer ofVon theDer galaxyGalaxie asWie masterMeister chancelorKanzler emperorImperator palpatinePalpatine evenObwohl sithSith lordLord stuckSteckengeblieben atBei sevenSieben notNicht thirteenDreizehn ofVon theDer galaxyGalaxie;7
GeneralsGeneraele admiralsAdmirale ofVon theDer galaxyGalaxie;8
unifierVereiniger ofVon theDer galaxyGalaxie;9
OptimizerOptimierer andUnd correctorKorrigierer ofVon theDer galaxyGalaxie;10
MassMassen mediaMedien andUnd newspaperNachrichten responsibleVerantwortliche ofVon theDer galaxyGalaxie;11
OrdererOrdnerer orOder rikerRiker orOder subduerUnterdruecker suppressorUnterdruecker (masterMeister chancelorKanzler emperorImperator palpatinePalpatine triedVersuchte soDas) ofVon theDer galaxyGalaxie;12
NoblifierVeredler infrastructureInfrastruktur responsibleVerantwortlicher ofVon theDer galaxyGalaxie;13
