basicsGrundlagen MetaMeta physicsPhysik orOder betterBesser metaMeta chemistryChemie theDie cyberneticKybernetische wayArt isIst L twelveZwoelf dodecadegramDodekadegramm insideInnerhalb fifeteenFuenfzehn pentedecadegramPentedekadegramm O O;
OrderOrdnen stackStapel overUeber downUnten overUeber orderedGeordnet asWie cybernaticsKybernetik asWie cyborgsCyborgs asWie borgBorg collectiveKollektiv orOder fungusPilz mushroomPilz atBei nailsNaegeln fingersFinger orOder feetFuesse orOder smartSchlaue watchUhr wearablesTragcomputern orOder etcUsw thinkableDenkbar, distanceAbstand zeroNull;TwelveZwoelf dodecadegramDodekadegramm
CrystalizeKristallisieren asWie Q Q seventeenSiebzehn heptadecadegramHeptadekadegramm atBei twoZwei lineLinie B B, distanceAbstand oneEins A A dotPunkt;ThirteenDreizehn tristaidegramTristaidegramm
FusionFusionieren combineKombinieren, distanceAbstand twoZwei B B lineLinie;FourteenVierzehn tetraidegramTetraidegramm
CompabilityKompabilitaet canKoennen withMit eachZusammen otherUns, distanceAbstand threeDrei triangleDreieck C C;FifeteenFuenfzehn pentedecadegramPentadekadegramm
InteroperabelityInteroperabilitaet workArbeiten togetherZusammen, distanceAbstand fourVier D D squareQuadrat;sixteenSechszehn hexadecadegramHexadekadegramm
